1  937.681  2.000  INDEF  INDEF
2  1557.450  2.000  INDEF  INDEF
3  221.277  3.000  INDEF  INDEF
4  320.757  4.118  INDEF  INDEF
5  578.835  4.660  INDEF  INDEF
6  1136.000  4.000  INDEF  INDEF
7  235.170  5.000  INDEF  INDEF
8  1527.000  5.882  INDEF  INDEF
9  1035.000  6.000  INDEF  INDEF
10  1052.000  6.154  INDEF  INDEF
11  1234.000  6.396  INDEF  INDEF
12  1046.109  7.021  16.392  0.051
13  254.879  8.465  16.012  0.034
14  639.000  8.480  16.525  0.056
15  289.000  7.828  15.637  0.029
16  315.597  9.471  15.721  0.040
17  850.578  10.000  15.425  0.031
18  330.000  11.243  16.594  0.066
19  459.115  11.000  17.765  0.144
20  990.000  11.041  INDEF  INDEF
21  1239.000  11.475  16.225  0.041
22  1325.242  11.111  15.924  0.037
23  84.835  13.000  15.409  0.024
24  393.827  12.628  16.115  0.034
25  613.000  11.400  16.910  0.070
26  840.036  12.455  14.374  0.018
27  604.349  12.591  16.646  0.058
28  70.448  14.354  10.335  0.001
29  1333.084  13.774  15.302  0.022
30  164.000  15.085  15.344  0.020
31  529.364  15.000  17.244  0.111
32  682.000  15.465  15.440  0.021
33  1193.559  15.333  17.342  0.121
34  1648.000  16.000  17.982  0.185
35  976.372  16.864  17.030  0.076
36  1587.000  16.000  17.452  0.142
37  1603.768  17.000  14.325  0.010
38  223.000  19.000  16.467  0.053
39  650.046  18.000  17.454  0.120
40  1481.000  17.923  15.571  0.023
41  1838.090  18.682  16.044  0.037
42  37.370  21.591  15.288  0.021
43  1068.000  20.526  14.915  0.015
44  1576.000  20.702  16.630  0.056
45  939.833  22.372  14.004  0.008
46  1438.694  22.825  17.961  0.172
47  1837.950  22.674  15.856  0.033
48  114.000  22.043  15.875  0.029
49  220.606  22.242  16.397  0.053
50  547.000  23.000  15.320  0.020
51  312.000  23.909  15.942  0.039
52  837.087  26.592  14.073  0.023
53  1536.000  24.000  17.191  0.107
54  298.725  25.000  16.000  0.040
55  1911.672  25.132  15.634  0.029
56  722.685  26.333  16.114  0.048
57  998.000  26.000  18.281  0.237
58  1310.000  26.000  14.813  0.017
59  1605.650  28.227  15.973  0.035
60  529.000  28.737  INDEF  INDEF
61  634.000  29.000  17.278  0.104
62  1324.000  28.769  16.118  0.048
63  1762.264  29.396  17.064  0.095
64  1827.662  28.581  14.948  0.016
65  1930.000  29.000  15.464  0.024
66  2041.655  29.000  INDEF  INDEF
67  83.000  30.281  18.252  0.492
68  1196.000  30.000  16.554  0.059
69  1219.857  29.596  14.630  0.012
70  330.968  31.598  18.647  0.361
71  732.000  31.000  16.701  0.083
72  756.957  30.724  15.534  0.026
73  809.669  31.199  14.288  0.018
74  931.011  31.000  15.976  0.032
75  1746.276  30.959  12.836  0.004
76  2007.000  31.679  18.256  0.292
77  248.989  32.852  16.747  0.061
78  70.843  32.459  15.500  0.034
79  1542.324  34.260  15.166  0.020
80  1575.000  35.000  17.416  0.117
81  203.377  35.000  15.259  0.019
82  1631.000  35.000  14.846  0.014
83  25.000  36.000  17.058  0.081
84  1226.000  34.875  16.321  0.047
85  1311.000  36.072  15.241  0.019
86  1555.755  35.448  17.091  0.113
87  740.402  42.216  14.827  0.016
88  787.419  37.207  16.145  0.045
89  796.174  37.000  15.819  0.037
90  1317.000  37.000  15.358  0.022
91  1205.382  37.683  15.904  0.033
92  1518.000  37.750  16.121  0.044
93  851.499  39.000  15.792  0.037
94  1145.000  39.296  13.395  0.006
95  1790.000  39.000  17.013  0.082
96  1837.000  39.000  16.780  0.079
97  560.578  39.905  13.492  0.006
98  1417.463  40.584  15.858  0.044
99  351.000  42.000  17.652  0.140
100  1606.527  41.000  17.040  0.080
101  1939.118  41.000  16.389  0.044
102  740.402  42.216  14.827  0.016
103  1779.000  43.282  14.140  0.009
104  1655.556  44.462  15.736  0.027
105  1850.387  44.000  17.235  0.093
106  1905.000  44.000  14.802  0.015
107  1.000  44.305  INDEF  INDEF
108  208.418  45.000  15.297  0.019
109  435.000  45.000  14.826  0.014
110  1114.854  45.436  15.824  0.027
111  607.000  46.315  15.273  0.020
112  1011.328  46.413  15.317  0.018
113  1402.468  46.000  12.741  0.004
114  1498.000  46.241  17.373  0.129
115  631.223  46.088  16.786  0.072
116  716.513  47.370  14.586  0.012
117  1428.585  47.000  15.718  0.031
118  1893.848  47.471  12.881  0.004
119  1530.687  48.000  15.290  0.026
120  260.000  50.514  15.824  0.029
121  814.228  50.493  13.319  0.007
122  82.000  51.228  11.920  0.003
123  444.581  50.352  16.827  0.075
124  461.547  51.000  16.673  0.059
125  1238.000  51.000  15.908  0.030
126  1252.000  50.198  16.127  0.037
127  1347.114  51.000  16.211  0.042
128  721.841  53.000  15.755  0.030
129  1171.583  53.442  17.727  0.129
130  1297.000  53.000  18.877  0.441
131  1556.764  52.767  15.496  0.025
132  944.152  53.366  16.028  0.033
133  1511.491  54.000  15.694  0.038
134  331.447  55.487  14.912  0.016
135  1416.000  55.629  14.523  0.014
136  662.000  56.000  12.085  0.003
137  688.776  56.357  16.337  0.045
138  924.462  55.227  15.904  0.031
139  169.374  57.000  11.095  0.002
140  1384.000  57.000  15.745  0.028
141  1329.000  59.547  17.043  0.096
142  360.560  60.233  16.500  0.053
143  2003.777  59.583  10.341  0.001
144  330.520  61.000  14.740  0.014
145  1051.283  61.540  16.384  0.043
146  741.314  62.190  17.197  0.104
147  789.382  62.000  19.561  0.997
148  21.000  64.000  17.177  0.087
149  315.000  64.000  16.478  0.049
150  570.000  65.057  14.168  0.009
151  614.183  64.988  13.694  0.007
152  902.000  64.651  15.929  0.031
153  1196.000  65.631  15.272  0.018
154  1922.615  66.376  15.620  0.023
155  119.000  66.701  15.773  0.026
156  1512.620  67.433  14.282  0.011
157  30.517  68.214  15.815  0.027
158  1080.000  68.763  17.147  0.080
159  1306.000  69.000  17.532  0.147
160  1773.000  69.000  14.589  0.012
161  499.374  70.363  17.319  0.105
162  1291.058  71.000  16.413  0.051
163  1519.571  70.895  15.490  0.029
164  1661.000  70.000  15.971  0.037
165  1900.000  70.625  15.519  0.023
166  90.055  72.196  15.796  0.030
167  349.949  72.376  12.511  0.004
168  765.000  71.280  18.670  0.297
169  1536.000  72.442  11.735  0.003
170  1647.000  72.000  17.143  0.107
171  1671.807  72.000  14.885  0.015
172  1815.000  72.899  15.474  0.022
173  342.882  74.000  13.263  0.006
174  815.156  73.581  16.230  0.054
175  414.752  75.000  14.139  0.009
176  743.686  75.018  17.113  0.083
177  1858.298  75.000  17.116  0.081
178  1835.281  75.966  17.041  0.077
179  719.143  77.154  16.665  0.062
180  909.591  78.000  15.439  0.021
181  1016.763  78.002  16.825  0.059
182  428.646  79.000  15.055  0.019
183  1282.000  79.229  16.232  0.045
184  1325.173  79.000  13.124  0.005
185  1595.097  79.000  16.019  0.032
186  1749.579  79.000  16.917  0.073
187  249.000  81.000  16.161  0.036
188  826.000  80.369  17.489  0.142
189  302.641  82.000  17.127  0.087
190  702.687  81.999  12.243  0.003
191  1778.106  82.000  17.177  0.101
192  1531.000  82.851  14.065  0.010
193  1644.639  83.128  15.718  0.030
194  469.511  85.402  16.542  0.048
195  683.000  85.515  14.040  0.009
196  1878.000  85.000  16.959  0.068
197  511.000  85.815  14.996  0.020
198  1793.220  86.197  15.044  0.016
199  1989.000  86.641  16.361  0.068
200  427.000  87.065  13.615  0.007
201  617.273  86.423  15.951  0.036
202  524.000  88.401  14.522  0.013
203  1178.743  87.826  13.264  0.005
204  1249.009  89.000  16.021  0.033
205  1447.653  90.000  16.883  0.077
206  2009.000  89.561  12.882  0.005
207  2023.973  91.000  17.132  0.094
208  679.000  91.000  14.611  0.013
209  806.797  91.000  15.817  0.030
210  1464.628  91.000  14.880  0.015
211  1092.000  92.080  17.214  0.083
212  1799.000  93.000  15.813  0.028
213  24.086  94.388  14.314  0.010
214  1877.000  94.636  17.044  0.074
215  60.553  95.304  16.193  0.039
216  1651.495  95.000  15.508  0.024
217  1427.608  95.435  16.046  0.032
218  1341.334  99.000  13.224  0.005
219  1503.000  99.193  INDEF  INDEF
220  458.000  101.000  17.362  0.105
221  781.431  101.000  14.530  0.011
222  1134.706  101.000  15.033  0.015
223  1485.351  101.000  14.387  0.010
224  53.685  101.794  14.997  0.017
225  99.310  101.404  15.062  0.016
226  209.000  103.297  15.166  0.017
227  519.419  104.295  14.021  0.010
228  581.297  104.000  10.865  0.002
229  708.561  103.998  16.121  0.040
230  1914.721  104.000  16.972  0.067
231  22.711  105.395  14.373  0.010
232  726.140  104.700  16.632  0.054
233  1479.339  104.000  15.056  0.016
234  599.386  106.247  16.504  0.062
235  513.000  107.515  13.119  0.005
236  862.690  106.721  16.064  0.034
237  1115.256  107.446  15.525  0.022
238  1395.184  109.000  16.009  0.033
239  771.000  110.076  15.173  0.019
240  1988.344  110.000  15.368  0.020
241  637.232  111.000  14.457  0.011
242  933.955  111.000  15.183  0.017
243  1332.838  111.000  16.620  0.076
244  293.000  112.000  14.239  0.010
245  1568.333  112.209  16.067  0.032
246  491.622  112.794  14.169  0.010
247  1252.444  113.406  14.509  0.011
248  1861.000  114.000  16.821  0.116
249  43.744  114.213  16.661  0.057
250  450.056  115.000  16.454  0.049
251  102.000  116.823  17.188  0.114
252  476.000  116.915  16.612  0.055
253  504.336  116.139  15.323  0.023
254  572.000  116.263  14.054  0.009
255  1940.486  115.781  15.517  0.021
256  51.000  117.000  16.368  0.043
257  868.000  119.000  15.104  0.018
258  1785.000  116.457  17.051  0.082
259  1030.204  118.452  15.947  0.031
260  1352.172  118.573  16.424  0.052
261  1888.000  118.292  16.256  0.045
262  114.650  119.000  16.352  0.051
263  1875.815  118.689  15.788  0.040
264  299.000  120.321  15.988  0.034
265  765.000  120.462  16.900  0.083
266  1206.543  120.394  15.306  0.019
267  1677.000  120.000  12.899  0.004
268  1899.000  120.000  18.601  0.336
269  156.832  121.967  17.590  0.114
270  1620.000  121.456  15.112  0.016
271  1845.890  126.987  14.139  0.012
272  1654.000  123.000  20.120  1.486
273  288.000  124.000  16.872  0.072
274  635.440  124.000  14.732  0.018
275  791.775  124.279  16.240  0.038
276  408.237  124.625  16.069  0.035
277  693.223  125.000  15.559  0.022
278  1407.020  125.000  15.364  0.022
279  110.855  125.814  15.266  0.020
280  1135.346  126.285  16.819  0.057
281  1256.664  126.959  16.527  0.054
282  1438.575  125.125  17.718  0.151
283  432.391  127.000  16.375  0.044
284  745.000  126.483  17.272  0.097
285  395.481  127.995  15.515  0.022
286  869.363  128.000  12.806  0.004
287  1855.177  128.521  14.636  0.019
288  233.558  130.820  14.732  0.014
289  326.000  128.739  13.693  0.007
290  533.260  129.000  14.115  0.008
291  1012.389  129.000  15.205  0.019
292  1416.000  129.000  13.211  0.005
293  1494.000  128.535  15.021  0.017
294  1312.000  130.307  10.726  0.002
295  1516.350  129.501  12.116  0.003
296  1764.000  129.554  17.141  0.100
297  15.016  132.258  14.722  0.012
298  1472.000  132.162  15.457  0.022
299  20.609  134.000  14.582  0.011
300  227.530  134.000  13.949  0.008
301  627.670  134.355  11.445  0.002
302  1881.000  134.000  15.951  0.059
303  263.000  135.395  17.327  0.104
304  1992.503  135.654  16.155  0.034
305  1188.750  136.291  14.396  0.011
306  1295.085  136.000  15.453  0.024
307  113.000  136.898  12.612  0.004
308  765.000  137.458  16.286  0.048
309  1248.186  136.610  16.422  0.050
310  1342.505  136.539  15.401  0.024
311  1776.972  137.000  16.251  0.045
312  1919.090  137.000  16.714  0.061
313  2022.000  136.252  15.268  0.018
314  143.523  137.000  16.247  0.039
315  1369.000  138.000  15.905  0.029
316  1425.361  139.276  16.251  0.041
317  648.000  140.624  16.083  0.048
318  1166.377  141.000  16.194  0.039
319  1177.624  141.386  14.605  0.012
320  1384.237  141.000  17.486  0.117
321  1824.148  141.427  14.104  0.011
322  850.592  142.000  16.242  0.043
323  1587.000  141.186  16.220  0.036
324  2034.000  141.619  15.392  0.021
325  980.314  143.000  11.904  0.003
326  1884.977  142.501  13.866  0.008
327  182.409  143.548  15.688  0.024
328  246.000  143.978  16.023  0.041
329  447.000  144.000  14.824  0.013
330  603.199  143.783  14.607  0.012
331  993.295  143.639  15.649  0.033
332  1328.080  144.769  16.813  0.112
333  1628.349  144.398  16.219  0.039
334  299.266  146.916  16.780  0.057
335  357.478  146.415  11.905  0.003
336  557.000  145.739  15.184  0.017
337  1009.000  145.836  16.284  0.057
338  1030.294  146.000  16.716  0.077
339  385.204  147.000  17.412  0.110
340  950.982  147.840  17.015  0.082
341  602.831  143.919  14.601  0.012
342  1183.442  147.851  15.548  0.028
343  912.000  150.000  14.037  0.008
344  1039.241  149.023  14.922  0.015
345  1207.279  150.000  15.823  0.028
346  258.000  151.000  15.963  0.037
347  751.722  151.398  14.313  0.011
348  909.000  151.376  13.994  0.008
349  1109.000  150.882  16.140  0.038
350  1450.844  152.000  17.235  0.085
351  1668.651  151.632  15.639  0.025
352  487.136  153.000  16.951  0.066
353  1385.078  153.501  17.198  0.089
354  1792.000  153.000  17.371  0.118
355  1916.000  153.000  14.720  0.013
356  243.142  154.458  16.162  0.041
357  648.000  154.514  15.320  0.035
358  933.000  154.000  16.793  0.073
359  107.364  156.000  17.199  0.102
360  1043.000  155.008  14.634  0.013
361  164.318  155.000  16.645  0.051
362  340.221  156.396  15.720  0.028
363  347.950  155.863  15.327  0.022
364  1844.730  145.278  INDEF  INDEF
365  29.425  157.000  14.947  0.015
366  412.653  156.507  17.721  0.131
367  884.314  158.677  17.249  0.091
368  133.144  159.000  14.582  0.012
369  758.996  159.273  13.241  0.005
370  1096.000  159.022  14.470  0.012
371  1319.000  159.111  14.929  0.017
372  1888.227  159.000  18.858  0.536
373  1020.113  160.615  15.155  0.021
374  1069.000  161.584  14.621  0.013
375  1109.843  162.000  15.653  0.030
376  762.706  163.199  13.393  0.006
377  104.000  165.928  16.634  0.058
378  457.087  165.000  15.377  0.020
379  1373.864  165.374  14.195  0.009
380  1835.187  165.178  15.065  0.021
381  576.000  166.612  14.854  0.014
382  646.294  166.000  11.636  0.002
383  661.139  165.370  15.518  0.026
384  1009.065  166.000  13.895  0.008
385  1402.000  165.000  16.711  0.055
386  1961.506  166.688  15.334  0.020
387  1601.641  166.941  16.098  0.033
388  1757.094  167.158  9.954  0.001
389  1916.000  167.000  17.452  0.119
390  301.000  167.085  17.337  0.112
391  614.000  168.033  16.571  0.050
392  935.000  168.461  15.439  0.023
393  1548.572  168.008  12.785  0.004
394  1634.135  168.314  13.005  0.005
395  1827.342  167.201  15.845  0.044
396  446.815  169.447  15.660  0.024
397  568.225  168.681  15.384  0.020
398  1065.000  169.323  12.958  0.005
399  1146.000  168.468  15.230  0.018
400  1430.000  169.587  15.016  0.014
401  1878.000  169.920  16.217  0.047
402  1970.000  169.252  16.183  0.038
403  121.109  170.874  15.998  0.037
404  1899.228  172.393  16.775  0.070
405  1972.655  173.000  16.648  0.058
406  1261.092  174.301  16.087  0.032
407  21.000  175.937  16.722  0.058
408  1106.976  175.000  15.691  0.027
409  1810.000  175.499  16.184  0.040
410  1466.865  176.224  15.589  0.022
411  1522.668  176.964  14.917  0.015
412  217.000  177.332  15.918  0.028
413  1308.000  177.000  16.818  0.065
414  1712.472  177.258  12.722  0.004
415  335.000  178.000  15.572  0.026
416  425.755  178.000  15.385  0.020
417  494.501  178.000  16.617  0.055
418  1133.572  178.130  16.098  0.034
419  1307.526  177.000  16.810  0.065
420  954.000  180.528  14.307  0.010
421  1113.000  179.000  16.551  0.053
422  675.018  180.700  15.571  0.025
423  1886.832  181.257  15.344  0.020
424  307.672  181.639  16.352  0.048
425  521.707  182.001  13.079  0.005
426  1218.655  182.184  14.938  0.014
